word	frequency	rank
ночь	125	1
день	92	2
ни	80	3
снег	66	4
жизнь	60	5
дни	53	6
ветер	50	7
время	45	8
ль	44	9
ночью	44	10
воздух	44	11
город	39	12
дом	38	13
лес	37	14
глаза	37	15
солнце	36	16
час	35	17
глаз	34	18
миг	33	19
дней	33	20
ночи	33	21
свет	33	22
небо	32	23
даль	32	24
жизни	32	25
Ни	31	26
сон	31	27
Сен	30	28
пути	30	29
облака	29	30
лет	29	31
море	29	32
раз	29	33
дождь	29	34
Жюст	29	35
слова	28	36
тучи	28	37
руки	27	38
дня	27	39
сад	26	40
утра	26	41
год	26	42
души	25	43
свете	25	44
сердце	25	45
тени	25	46
деревья	24	47
слез	24	48
дома	24	49
утро	23	50
два	23	51
лед	23	52
друг	22	53
окно	22	54
тень	22	55
шел	22	56
знаю	21	57
мир	21	58
Робеспьер	21	59
спят	21	60
мысли	21	61
окна	21	62
неба	21	63
люди	21	64
земли	21	65
путь	21	66
шум	20	67
пред	20	68
века	20	69
идет	20	70
звезд	20	71
век	20	72
голос	20	73
земле	19	74
губ	19	75
слов	19	76
гул	19	77
зима	19	78
двор	19	79
дух	19	80
дверь	19	81
стекла	19	82
край	19	83
сумерки	19	84
лесу	18	85
ног	18	86
вечер	18	87
рук	18	88
знал	18	89
три	18	90
сердца	18	91
кровь	18	92
лето	18	93
Снег	18	94
тоски	17	95
смерти	17	96
жить	17	97
поле	17	98
Пред	17	99
сегодня	17	100
след	17	101
туман	16	102
вихрь	16	103
моря	16	104
снегу	16	105
шаг	16	106
часы	16	107
кругом	16	108
мрак	16	109
средь	16	110
видел	16	111
днем	16	112
солнца	15	113
видит	15	114
сада	15	115
спит	15	116
сто	15	117
вьюги	15	118
Кругом	15	119
Ночь	15	120
смерть	15	121
земля	15	122
гром	15	123
небосвод	15	124
жар	15	125
крыш	15	126
улицы	15	127
пыли	15	128
словно	15	129
помню	14	130
дела	14	131
Шли	14	132
Словно	14	133
сил	14	134
небес	14	135
воде	14	136
пять	14	137
душе	14	138
спать	14	139
степь	14	140
первых	14	141
жил	14	142
годы	14	143
двух	14	144
уши	14	145
лицо	14	146
вид	14	147
волны	14	148
улиц	14	149
солнцем	14	150
дым	14	151
снега	13	152
города	13	153
года	13	154
третий	13	155
груди	13	156
последний	13	157
крови	13	158
новый	13	159
шли	13	160
тишь	13	161
Ветер	13	162
завтра	13	163
двери	13	164
ответ	13	165
мысль	13	166
пол	13	167
головой	13	168
ветра	13	169
дело	13	170
губы	13	171
Весна	13	172
Окно	13	173
ночной	13	174
лица	13	175
зари	13	176
гор	13	177
крыши	13	178
разговор	13	179
слух	13	180
люблю	13	181
пруд	12	182
детстве	12	183
звезды	12	184
туч	12	185
знает	12	186
листьев	12	187
облаков	12	188
рассвет	12	189
смотрит	12	190
закат	12	191
деревьев	12	192
заре	12	193
степи	12	194
крик	12	195
Земля	12	196
сном	12	197
простор	12	198
твоей	12	199
Город	12	200
первый	12	201
землю	12	202
утром	12	203
стихи	12	204
полдень	12	205
воду	12	206
комнат	12	207
стены	12	208
вдоль	12	209
дна	11	210
две	11	211
тихо	11	212
думал	11	213
запах	11	214
светло	11	215
Зима	11	216
белой	11	217
мостовой	11	218
дрожью	11	219
ветки	11	220
взгляд	11	221
